region;year;poverty_percent;population;disabled_total;disabled_18_30;disabled_31_40;disabled_41_50;disabled_51_60;disabled_60_plus;newborns;child_deaths_urban;child_deaths_rural;poor_children_share;poor_old_share;poor_working_share;hh_no_crowding;hh_some_crowding;hh_high_crowding;area_total_per_capita;area_living_per_capita;rooms_per_hh;hh_plan_improve;drug_alco_rate;workers_share;cash_income_per_capita;real_incomes_index;formal_wage_paid;real_wage_index;welfare_expense_share;grp_per_capita;industry_total;mining;manufacturing;energy;water_waste;retail_turnover;crime_juveniles;crime_repeat_offenders;crime_prev_convicted;crime_group;crime_group_prep;crime_organized_group;crime_criminal_community;crime_intox_alcohol;crime_intox_narcotic;crime_intox_toxic;poor_abs;production_pc;retail_to_income;birth_rate_per_1000;infant_mortality_per_1000;disabled_per_1000
Новосибирская область;2015;17.3;2746822.0;;;;;;;32280.0;178.0;56.0;;;;;;;;;;;;84.7;25541.0;96.4;28046.0;90.4;16.7;370895.7;519773844.5;25852462.5;430809735.13;63111646.87;;161317.0;;;;;;;;;;;475200.206;189.22734873246247;6.3160017227203324;11.751762582358813;7.24907063197026;
Новосибирская область;2016;16.1;2762237.0;;;;;;;29049.0;177.0;62.0;;;;;;;;;;;;84.1;26783.0;99.3;30151.0;101.2;18.1;387887.1;504213173.79;29635348.0;410382758.93;64195066.86;;162400.0;1619.0;13576.0;7810.0;73.0;2701.0;212.0;0.0;8724.0;486.0;0.0;444720.157;182.5379841736969;6.063547772840981;10.516476319736503;8.227477710076078;
Новосибирская область;2017;15.1;2779555.0;184635.0;8883.0;14440.0;16505.0;32985.0;111822.0;31896.0;125.0;48.0;33.1;11.0;55.9;;;;;;;;;84.9;27698.0;101.0;32287.0;104.1;24.1;423663.3;587219955.75;50567715.6;459488991.46;59641293.09;17521955.6;170030.0;1135.0;13658.0;7912.0;50.0;2071.0;260.0;28.0;7562.0;405.0;0.0;419712.805;211.26401735169839;6.138710376200447;11.47521815542416;5.423877602207174;66.42610058084837
Новосибирская область;2018;14.1;2788849.0;183657.0;8440.0;14663.0;17157.0;31234.0;112163.0;27128.0;130.0;38.0;33.6;9.3;57.0;;;;;;;;34.1;84.8;28852.0;102.8;35686.0;108.8;23.3;466347.9;703302904.8;90660747.4;533607176.61;61720486.99;17314493.8;179643.0;1162.0;13531.0;8425.0;54.0;1981.0;321.0;0.0;6851.0;263.0;1.0;393227.709;252.18393136379916;6.226362123942881;9.727310442408319;6.192863462105573;65.85404946628519
Новосибирская область;2019;13.9;2793384.0;182920.0;8080.0;14801.0;17795.0;29969.0;112275.0;27598.0;111.0;39.0;44.5;3.4;52.0;;;;;;;;54.1;84.1;30559.0;101.7;39076.0;105.0;21.1;504043.1;719744231.44;77494551.6;548433242.81;69251801.7;24564635.33;191413.0;1068.0;13597.0;8139.0;49.0;1930.0;207.0;53.0;5920.0;156.0;0.0;388280.376;257.6603257697474;6.2637193625445855;9.879773063782137;5.435176462062468;65.48329910961043
Новосибирская область;2020;13.8;2798170.0;181795.0;7994.0;15185.0;18817.0;28984.0;110815.0;20414.0;130.0;34.0;34.1;4.4;61.5;78.6;16.9;4.5;23.2;16.3;2.3;12.0;42.1;81.4;31563.0;99.8;41534.0;102.9;25.4;485981.4;708010570.77;51475249.3;564073883.19;68675540.86;23785897.42;197028.0;1075.0;12547.0;7612.0;34.0;1443.0;260.0;36.0;5122.0;169.0;2.0;386147.46;253.0262888852357;6.242372398061021;7.295482404571559;8.03370236112472;64.96924775835636
Омская область;2015;14.2;1978183.0;;;;;;;28582.0;113.0;76.0;;;;;;;;;;;;81.9;25283.0;95.0;27234.0;91.2;21.1;312450.2;761781835.43;4042136.9;709131660.23;48608038.3;;155026.0;;;;;;;;;;;280901.986;385.09169041994596;6.131629948977574;14.448612691545726;6.612553355258554;
Омская область;2016;14.7;1978466.0;;;;;;;22333.0;100.0;66.0;;;;;;;;;;;;81.9;24713.0;92.1;28163.0;97.6;19.7;338878.9;766524708.5600001;3413987.7;709347013.91;53763706.95;;147735.0;699.0;11740.0;6043.0;145.0;1517.0;200.0;0.0;5644.0;239.0;5.0;290834.502;387.43385459239636;5.978027758669526;11.288038308467268;7.432946760399409;
Омская область;2017;14.2;1972682.0;126909.0;6262.0;10045.0;11434.0;23522.0;75646.0;20732.0;98.0;61.0;42.0;6.3;51.7;;;;;;;;;82.2;24707.0;96.9;29751.0;102.9;29.9;355839.6;853536094.92;3165219.4;791301041.92;50397131.0;8672702.6;161071.0;534.0;11292.0;5888.0;158.0;1383.0;234.0;0.0;4879.0;121.0;1.0;280120.844;432.67799621023556;6.519245557939046;10.509549942666887;7.6693034921859935;64.33322755517615
Омская область;2018;13.6;1960081.0;125281.0;5940.0;10211.0;11705.0;22371.0;75054.0;21360.0;84.0;61.0;43.3;5.0;51.7;;;;;;;;29.9;83.7;25431.0;100.1;32613.0;107.4;29.3;377061.9;1029636251.2;3822291.2;961524486.5;53352574.3;10936899.2;169335.0;518.0;11185.0;6212.0;67.0;1241.0;445.0;2.0;5034.0;91.0;1.0;266571.016;525.3029090124337;6.658605638787307;10.897508827441316;6.788389513108615;63.91623611473199
