region,cluster,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Ставропольский край,2,2.211759119787775,1.9534761060419836,10.082135703963774,2.6946271807700692,39.2,1.9,74.02839162739832,4.0163830207523885,2.995732273553991,1.410986973710262,2.8449093838194073,12.639403213599639,19.807108149721426,7.778595625444356,8.796338932845732,8.023879992734878,30.8,77.0
Тамбовская область,2,2.1262271161852677,1.4419287507180474,10.236023480621535,2.468099531471619,33.5,7.6,104.90212049092722,3.4242626545931514,3.0301337002713233,1.1631508098056809,2.791165107812717,12.843857210603371,19.151419673594898,7.109684821972821,8.060855752934316,7.903226808730733,23.9,83.2
Тверская область,2,2.196516250275047,1.69863878485566,10.228537661456647,2.517696472610991,31.0,3.8,74.60136990540148,3.765840495250065,2.917770732084279,1.4350845252893227,2.72785282839839,12.878310746901741,19.9111364546052,7.21563527329215,7.970049304976135,7.989899374942939,22.5,85.4
Томская область,2,2.3233598358654475,1.7096746599986452,10.270142529857202,2.7343675094195836,42.2,3.6,58.62197724204579,3.55820113047182,2.884800712846709,0.8754687373538999,2.6100697927420065,13.158078916143523,19.687406653571646,5.626329833316007,8.22817689595132,8.084254106307318,23.5,76.4
Тульская область,2,2.125195156657228,1.9343216715065525,10.288273649435892,2.4069451083182885,38.8,5.3,97.09800037786631,4.120661870539474,2.8678989020441064,1.6486586255873816,1.7404661748405046,13.095085084822784,20.653072843926616,6.998536668368215,7.9287663216266955,7.784889295655098,23.3,88.2
Тюменская область,1,2.504742668435744,1.6193354835113094,10.820977564985766,2.533696813957432,45.6,4.6,24.22497747925216,4.0163830207523885,2.884800712846709,1.547562508716013,2.7212954278522306,14.475341308734782,22.684918600760565,5.253201222557382,8.402679804627477,8.566364235422688,21.9,97.9
Удмуртская Республика,2,2.369355220701698,1.6736111210642513,10.144471021978669,2.5572273113676265,49.9,2.7,67.16390564673824,3.8372994592322094,2.760009940032921,1.4816045409242156,2.6878474937846906,13.020312711478914,20.181248016265478,6.2904239852253525,8.554103545436334,8.705165419719007,23.1,83.3
Ульяновская область,2,2.242047715628364,1.6401990267857336,10.11013580132114,2.772588722239781,38.4,3.1,87.75564633638635,3.624340932976365,2.9391619220655967,0.6931471805599453,2.653241964607215,12.794173705449444,19.60291420355026,6.722204148027654,8.025189321890835,7.983098940710892,25.3,81.3
Хабаровский край,2,2.437360929095167,1.6527960288401944,10.63923913817842,2.5649493574615367,32.7,6.4,48.96845116798402,4.866764923676554,2.797281334830153,1.9459101490553132,2.70805020110221,13.397325645047802,20.03379277115299,6.658888356492573,8.245384468120747,8.28121766128665,25.7,87.8
Ханты-Мансийский автономный округ,1,2.588055159032374,1.534691355154142,10.904927929451965,2.2407096892759584,55.6,1.6,31.47534209602336,3.186352633162641,2.7013612129514133,1.5040773967762742,2.9069010598473755,14.505969779196178,21.966404034733984,4.7410502727623385,8.031060180240619,8.192847134592865,15.8,104.0
Челябинская область,2,2.19703377352168,1.7573602967913198,10.189756126469401,2.6100697927420065,40.6,6.0,61.78655532633716,4.021773869387265,2.833213344056216,1.7749523509116738,2.772588722239781,13.055236549488889,21.26476444117244,6.510703019378099,9.377294451639015,9.291274989472182,24.3,90.2
Чеченская Республика,0,2.6884202534993618,2.295460965442757,10.110379763264287,3.0633909220278057,43.7,6.2,116.96893136389026,4.0163830207523885,3.005682604407159,0.8754687373538999,3.0007198150650303,12.049597182153184,17.588102773780133,5.039640591966173,5.971261839790462,5.0369526024136295,35.1,61.5
Чувашская Республика,2,2.251425505957604,1.199413018315336,9.95967883218587,2.8791984572980396,22.2,4.2,61.83025706632682,4.229749199228304,2.7212954278522306,2.1972245773362196,3.339321977944068,12.567973460786096,19.34901798716737,6.691751359016781,7.87359778968554,7.822444729489319,24.9,71.6
Чукотский автономный округ,1,2.4577488497768605,2.7661668425014416,11.402463067931476,2.1972245773362196,39.4,4.6,32.1945593382119,5.610935924289849,2.714694743820879,1.4350845252893227,2.70805020110221,14.692757796180846,18.68796449862962,2.4244647703286764,4.969813299576001,5.645446897643238,6.4,107.5
Ямало-Ненецкий автономный округ,1,2.640922238345594,1.509639389679448,11.406775749086924,1.7578579175523736,51.0,0.7,25.264306338209256,3.979681653901961,2.803360380906535,1.7047480922384253,2.928523523860541,15.439341314699183,21.728413420103816,2.9258295525309137,7.093404625868766,7.43307534889858,12.6,122.3
Ярославская область,2,2.2454119988472976,1.5642918939436574,10.29265388767479,2.388762789235098,31.9,2.3,76.91387111263941,4.037774210733707,2.8213788864092133,1.547562508716013,1.9021075263969205,13.112521504669367,19.988335050290964,6.925730161957038,7.8713112033234065,7.819636302367592,23.5,88.0
г. Москва,1,2.015234104223049,1.8654097111164356,11.255242227381274,1.9459101490553132,38.4,13.2,76.85959363401979,2.990719731730447,2.6946271807700692,1.840549633397487,2.624668592163159,14.265085561517713,23.00372875130986,5.288019357426601,9.109193189971226,8.797095076549056,17.5,117.0
г. Санкт-Петербург,2,2.4221588377328884,1.4918311811543776,10.803811490888204,1.9315214116032138,39.4,4.6,101.69479279978896,2.617395832834079,2.8154087194227095,1.547562508716013,2.4595888418037104,13.786245482580773,21.77957127093625,5.761253480195907,8.70996000607173,8.039157390473237,19.8,98.7
г. Севастополь,0,2.342469849509095,1.5151922545825707,10.307551679728665,2.4849066497880004,39.4,4.6,45.502718540849365,4.0163830207523885,2.6878474937846906,2.0541237336955462,2.0541237336955462,12.595767047214103,17.183780220518404,4.71953132823714,6.375024819828097,6.4967749901858625,13.3,71.4
